Nom,Ouverture,Haut,Bas,VolumeTitres,VolumeDT,Dernier,Variation
ADWYA,5.95,5.95,5.95,9 422,56061,5.95,0.00%
AETECH,0.32,0.32,0.32,15,5,0.32,0.00%
AIR LIQUIDE TUNISIE,82.98,82.98,81.01,62,5023,81.01,-2.37%
AMEN BANK,41.49,41.49,41.10,3 592,147919,41.18,-0.75%
AMI,1.61,1.61,1.61,7 675,12357,1.61,0.00%
AMS,0.95,0.95,0.95,1 574,1495,0.95,0.00%
ARAB TUNISIAN BANK,3.31,3.32,3.28,25 720,84362,3.28,-0.91%
ARAB TUNISIAN LEASE,3.92,3.92,3.90,982,3849,3.92,0.00%
ARTES,6.64,6.64,6.52,166,1101,6.63,-0.15%
ASSAD,0.71,0.71,0.70,13 947,9763,0.70,-1.41%
ASSURANCES MAGHREBIA,49.00,49.00,48.50,22,1067,48.50,-1.02%
ASTREE,50.00,50.00,49.99,10,500,49.99,-0.02%
ATTIJARI LEASING,18.01,18.30,18.00,2 409,44085,18.30,1.61%
BANQUE ATTIJARI DE TUNIS,54.00,54.00,53.25,8 263,442236,53.52,-0.89%
BANQUE DE TUNISIE,5.12,5.18,5.10,38 554,198553,5.15,0.59%
BANQUE NATIONALE AGRICOLE,9.00,9.00,8.94,2 838,25542,9.00,0.00%
BEST LEASE,2.29,2.29,2.29,1 040,2382,2.29,-4.18%
BH ASSURANCE,47.00,47.00,47.00,839,39433,47.00,0.00%
BH BANK,13.45,13.45,13.40,2 761,37135,13.45,0.00%
BH LEASING,3.38,3.45,3.38,3,10,3.45,2.07%
BIAT,100.70,101.60,100.69,10 338,1047343,101.31,0.61%
BTE (ADP),3.51,3.52,3.51,450,1584,3.52,0.28%
CARTHAGE CEMENT,1.91,1.91,1.85,13 007,24193,1.86,-2.62%
CELLCOM,2.05,2.05,1.98,300,594,1.98,-3.41%
CEREALIS,13.30,13.30,13.30,42,559,13.30,0.00%
CIL,20.27,20.27,20.27,98,1986,20.27,0.00%
CIMENTS DE BIZERTE,0.64,0.64,0.62,1 251,776,0.62,-6.06%
CITY CARS,13.22,13.48,13.05,3 044,40911,13.44,1.66%
DELICE HOLDING,11.88,11.99,11.85,2 847,33879,11.90,0.17%
ELBENE,2.28,2.28,2.28,20,46,2.28,10.14%
ELECTROSTAR,0.36,0.36,0.36,355,128,0.36,0.00%
ENNAKL AUTOMOBILES,10.86,10.86,10.57,58,629,10.84,-0.18%
ESSOUKNA,1.41,1.45,1.41,150,218,1.45,2.84%
EURO-CYCLES,11.68,11.68,11.55,4 045,46882,11.59,-0.77%
GIF FILTER,0.40,0.40,0.40,748,299,0.40,0.00%
HANNIBAL LEASE,5.74,5.99,5.74,2 561,15340,5.99,4.36%
HEXABYTE,7.55,7.55,7.55,1,8,7.55,0.00%
ICF,68.45,68.45,67.01,24,1643,68.45,0.00%
LAND'OR,8.75,8.81,8.70,2 279,20055,8.80,0.57%
MAGASIN GENERAL,5.14,5.14,5.01,1 500,7515,5.01,-2.53%
MAGHREBIA VIE,5.57,5.57,5.50,10 737,59054,5.50,-1.26%
MEUBLES INTERIEURS,5.95,5.95,5.83,286,1685,5.89,-1.01%
MIP,0.11,0.11,0.11,800,88,0.11,0.00%
MONOPRIX,4.45,4.45,4.25,680,2890,4.25,-4.49%
MPBS,5.20,5.35,5.20,2 930,15529,5.30,1.92%
NEW BODY LINE,4.80,4.85,4.80,7 768,37675,4.85,1.04%
OFFICE PLAST,1.00,1.00,0.96,1 944,1866,0.96,-4.00%
ONE TECH,8.40,8.45,8.30,35 708,299947,8.40,0.00%
PLACEMENTS DE TUNISIE - SICAF,48.50,48.51,48.50,1,49,48.51,0.02%
POULINA GROUP HOLDING,8.98,8.98,8.85,2 760,24674,8.94,-0.45%
SAH,8.31,8.37,8.30,47 578,398228,8.37,0.72%
SANIMED,1.25,1.28,1.25,10 650,13632,1.28,2.40%
SERVICOM,0.21,0.22,0.21,500,110,0.22,4.76%
SFBT,13.00,13.08,12.90,13 477,175201,13.00,0.00%
SIAME,3.67,3.67,3.58,832,3028,3.64,-0.82%
SIMPAR,34.40,34.40,34.40,780,26832,34.40,0.00%
SIPHAT,4.08,4.08,4.08,50,204,4.08,-4.45%
SITS,1.84,1.90,1.84,194 542,369630,1.90,11.76%
SMART TUNISIE,17.10,17.10,16.51,991,16897,17.05,-0.29%
SOCIETE CHIMIQUE ALKIMIA,18.50,18.50,18.00,10,180,18.00,-2.70%
SOMOCER,0.51,0.51,0.49,27 682,13841,0.50,-1.96%
SOPAT,2.05,2.05,2.05,52 796,108232,2.05,0.00%
SOTEMAIL,1.66,1.66,1.66,117,194,1.66,34.96%
SOTETEL,5.28,5.28,5.20,5 124,26645,5.20,-1.52%
SOTIPAPIER,4.33,4.35,4.29,5 695,24773,4.35,0.46%
SOTRAPIL,15.17,15.20,15.08,638,9698,15.20,0.20%
SOTUMAG,6.20,6.21,6.15,11 711,72725,6.21,0.16%
SOTUVER,12.56,12.58,12.40,11 138,140116,12.58,0.16%
SPDIT - SICAF,11.60,11.70,11.60,1 010,11817,11.70,0.86%
STA,19.19,20.00,19.19,60,1200,20.00,4.22%
STAR,158.50,159.50,158.50,419,66831,159.50,0.63%
STB BANK,3.25,3.33,3.15,18 307,59315,3.24,-0.31%
STEQ,6.50,6.50,6.50,21 015,136598,6.50,0.00%
STIP,3.70,3.70,3.54,23,81,3.54,-4.32%
SYPHAX AIRLINES,3.88,3.90,3.88,711,2773,3.90,-2.01%
TAWASOL,0.64,0.66,0.64,2 962,1955,0.66,-4.35%
TELNET HOLDING,5.10,5.10,5.10,257,1311,5.10,0.00%
TPR,5.60,5.70,5.60,6 915,39346,5.69,1.61%
TUNINDEX,9594.33,9625.09,9580.01,0,0,9592.97,-0.04%
TUNINVEST - SICAR,9.92,9.92,9.92,205,2034,9.92,4.42%
TUNIS RE,6.69,6.69,6.69,2,13,6.69,0.00%
TUNISAIR,0.40,0.41,0.40,660,271,0.41,2.50%
TUNISIAN BOND INDEX,198.41,198.41,198.41,0,0,198.41,0.03%
TUNISIE LEASING & FACTORING,15.01,15.19,15.01,1 300,19747,15.19,1.20%
TUNISIE VALEURS,17.48,17.48,17.48,416,7272,17.48,0.00%
UADH,0.38,0.38,0.38,25 948,9860,0.38,0.00%
UBCI,22.76,22.76,22.65,100,2265,22.65,-0.48%
UIB,23.40,23.85,23.20,3 477,80771,23.23,-0.73%
UNIMED,6.70,6.70,6.60,106,710,6.70,0.00%
WIFAK INT BANK,8.70,8.74,8.50,321,2729,8.50,-2.30%
